Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
Disparate_Impact,RandomForest,0.4064,0.5,0.1028,0.7057,0.561,,,36.0
Disparate_Impact,XGBoost,0.4442,0.5764,0.1588,0.6576,,,,36.0
Disparate_Impact,kNN,0.3523,0.4695,0.1173,0.6933,0.494,,,36.0
Disparate_Impact,SVM,0.4261,0.449,0.049,0.7134,0.4825,,,36.0
Disparate_Impact,MLP,0.4465,0.5219,0.0754,0.5599,,,,36.0
Disparate_Impact,LR,0.4532,0.53,0.0768,0.518,,0.4855,,36.0
Disparate_Impact,CatBoost,0.4704,0.598,0.1294,0.5346,,,,36.0
Correlation_Remover,RandomForest,0.5127,0.5,0.1112,0.6071,0.4722,,,35.0
Correlation_Remover,XGBoost,0.6109,0.5764,0.0588,0.5179,0.3098,,,35.0
Correlation_Remover,kNN,0.4934,0.4695,0.061,0.5365,,,,35.0
Correlation_Remover,SVM,0.4294,0.449,0.0253,0.6171,0.4774,,,35.0
Correlation_Remover,MLP,0.5426,0.5219,0.084,0.5489,,,,35.0
Correlation_Remover,LR,0.5174,0.53,0.0459,0.4757,,0.4855,,35.0
Correlation_Remover,CatBoost,0.59,0.598,0.0843,0.4828,,,,35.0
